source_feature,target_feature,effect_strength,lag
Process_temperature,Air_temperature,1.1358024691357922,0
Process_temperature,Temp_difference,0.5555555555555619,0
Rotational_speed,Tool_wear,0.6538055787220778,0
Rotational_speed,wear_torque_product,-1.0791327949289653,0
Rotational_speed,Target,0.07577452147068597,0
Torque,Rotational_speed,-0.3244895743557085,0
Torque,Tool_wear,-0.06127461332583267,0
Torque,Power_output,0.8699445021176693,0
Torque,wear_torque_product,0.09566032201276728,0
Torque,Target,0.03231844777458161,0
Power_output,Rotational_speed,-0.44723221036800737,0
Power_output,Tool_wear,-0.49091973772350944,0
Power_output,wear_torque_product,0.7977014055936625,0
Power_output,Target,0.028694560481700382,0
wear_torque_product,Tool_wear,0.6041161235827649,0
wear_torque_product,Target,0.0956911548644585,0
Temp_difference,Air_temperature,-0.7225294909999911,0
Target,Tool_wear,0.06651610966904166,0
Air_temperature,Air_temperature,0.9993827677017574,1
Rotational_speed,Process_temperature,0.002747784781622902,1
Rotational_speed,Temp_difference,0.0011607369414610971,1
Torque,Air_temperature,-0.0014165666389910098,1
Torque,Temp_difference,0.0004548611815527625,1
Tool_wear,Air_temperature,0.004320525264095361,1
Tool_wear,Rotational_speed,0.20394164437866175,1
Tool_wear,Torque,0.37923304122007684,1
Tool_wear,Tool_wear,0.895215532447127,1
Tool_wear,Power_output,-0.29234136535928945,1
Tool_wear,wear_torque_product,0.07736179809146876,1
Tool_wear,Temp_difference,-0.01050120528627052,1
Tool_wear,Type_n,0.0037200391102861635,1
Tool_wear,Target,-0.1593549622973223,1
Power_output,Process_temperature,0.0017500030402629538,1
Power_output,Temp_difference,0.0012616040026272584,1
wear_torque_product,Air_temperature,-0.007087292720809644,1
wear_torque_product,Temp_difference,0.005159709281949472,1
Temp_difference,Process_temperature,0.633651687875069,1
Temp_difference,Temp_difference,0.6436686371059595,1
Target,Air_temperature,0.0031847008260941813,1
Target,wear_torque_product,0.01464589835648316,1
Target,Temp_difference,-0.08530127569509584,1
Target,Target,0.04117029498836276,1
