iter	Passed	Remaining
0	1	162
1	3	150
2	4	145
3	5	142
4	7	138
5	8	139
6	10	136
7	11	134
8	13	133
9	14	132
10	16	132
11	18	132
12	19	132
13	21	132
14	23	132
15	25	133
16	27	133
17	29	132
18	30	131
19	32	131
20	34	131
21	36	130
22	38	129
23	40	129
24	42	128
25	45	128
26	46	126
27	48	125
28	50	124
29	52	122
30	54	121
31	56	119
32	58	118
33	60	116
34	62	115
35	64	113
36	65	112
37	67	110
38	69	108
39	71	106
40	73	105
41	75	103
42	76	101
43	78	100
44	80	98
45	82	96
46	84	94
47	85	92
48	87	90
49	89	89
50	91	87
51	92	85
52	94	83
53	96	81
54	97	80
55	99	78
56	101	76
57	103	74
58	104	72
59	106	71
60	108	69
61	110	67
62	112	65
63	113	64
64	115	62
65	117	60
66	119	58
67	121	56
68	122	55
69	124	53
70	126	51
71	128	49
72	130	48
73	132	46
74	133	44
75	135	42
76	137	41
77	139	39
78	141	37
79	143	35
80	145	34
81	147	32
82	149	30
83	151	28
84	153	27
85	155	25
86	157	23
87	158	21
88	160	19
89	162	18
90	164	16
91	166	14
92	168	12
93	170	10
94	172	9
95	174	7
96	176	5
97	178	3
98	179	1
99	181	0
