iter	MultiClass
0	1.55774273
1	1.51078212
2	1.452801792
3	1.398522808
4	1.356010287
5	1.314497609
6	1.274491673
7	1.241859488
8	1.206680917
9	1.166055267
10	1.133573198
11	1.102353284
12	1.071045487
13	1.037512522
14	1.006605339
15	0.9829675509
16	0.9598149509
17	0.9366399155
18	0.9136586265
19	0.8939668809
20	0.872469236
21	0.8517096006
22	0.8306270894
23	0.8119144718
24	0.7952327365
25	0.7789070867
26	0.7609471522
27	0.7454742727
28	0.7260030489
29	0.7127266709
30	0.6968154134
31	0.6835973938
32	0.6717874645
33	0.6594511852
34	0.6457468031
35	0.6329480587
36	0.6193021216
37	0.6068624885
38	0.5947300911
39	0.5833912734
40	0.5708273616
41	0.5608244347
42	0.5519507646
43	0.5402027684
44	0.5319104407
45	0.5217741922
46	0.5139208199
47	0.5040097151
48	0.4957913709
49	0.4862909973
50	0.4778490524
51	0.4689112241
52	0.4593191441
53	0.4508650779
54	0.4440073956
55	0.4375380967
56	0.4313432078
57	0.4249982628
58	0.4173257819
59	0.411384659
60	0.4051787506
61	0.3986953382
62	0.3934858886
63	0.3883612516
64	0.3829951362
65	0.3769571073
66	0.3720893979
67	0.3671533693
68	0.3606274454
69	0.355998515
70	0.352480294
71	0.3479141288
72	0.343416068
73	0.3388295655
74	0.33479054
75	0.3298295913
76	0.3247065668
77	0.3194489137
78	0.3158257955
79	0.3117906011
80	0.308273199
81	0.3048972276
82	0.3017659834
83	0.2983500755
84	0.2947091271
85	0.291357866
86	0.2880944121
87	0.2850233532
88	0.2817242239
89	0.2779681157
90	0.2752058142
91	0.2718899387
92	0.2687626049
93	0.265337298
94	0.2624625106
95	0.2595739395
96	0.2570241211
97	0.2541232592
98	0.2513315186
99	0.2484561781
