iter	Passed	Remaining
0	150	14903
1	207	10174
2	262	8502
3	316	7599
4	370	7037
5	427	6692
6	487	6477
7	541	6230
8	597	6041
9	653	5880
10	711	5755
11	769	5640
12	828	5541
13	884	5435
14	946	5362
15	1002	5263
16	1061	5180
17	1118	5097
18	1180	5034
19	1242	4968
20	1299	4889
21	1356	4810
22	1415	4738
23	1474	4669
24	1532	4598
25	1592	4531
26	1652	4466
27	1709	4395
28	1768	4330
29	1827	4263
30	1886	4198
31	1945	4134
32	2006	4073
33	2064	4006
34	2120	3937
35	2177	3871
36	2236	3808
37	2296	3746
38	2352	3680
39	2409	3614
40	2466	3548
41	2522	3483
42	2581	3421
43	2638	3357
44	2698	3297
45	2759	3239
46	2819	3179
47	2883	3123
48	2940	3060
49	2998	2998
50	3066	2945
51	3130	2889
52	3186	2825
53	3245	2764
54	3303	2702
55	3362	2641
56	3419	2579
57	3476	2517
58	3533	2455
59	3592	2394
60	3649	2333
61	3706	2271
62	3766	2212
63	3825	2152
64	3884	2091
65	3943	2031
66	4001	1970
67	4059	1910
68	4119	1850
69	4176	1789
70	4235	1729
71	4297	1671
72	4355	1610
73	4413	1550
74	4472	1490
75	4534	1431
76	4594	1372
77	4654	1312
78	4714	1253
79	4772	1193
80	4829	1132
81	4889	1073
82	4947	1013
83	5005	953
84	5063	893
85	5120	833
86	5179	773
87	5236	714
88	5294	654
89	5351	594
90	5410	535
91	5467	475
92	5525	415
93	5586	356
94	5645	297
95	5703	237
96	5761	178
97	5820	118
98	5878	59
99	5934	0
