iter	MultiClass
0	1.55561004
1	1.502318891
2	1.446329609
3	1.400184844
4	1.356666676
5	1.321664745
6	1.284465055
7	1.245043749
8	1.202984182
9	1.169271899
10	1.134747705
11	1.106652517
12	1.076818182
13	1.045453891
14	1.018450683
15	0.9896045487
16	0.9635721837
17	0.9407106371
18	0.9185164377
19	0.8950555043
20	0.8723162302
21	0.851421826
22	0.8314560031
23	0.8106248053
24	0.7910321391
25	0.7711873426
26	0.7562483985
27	0.742505435
28	0.7295766902
29	0.7140183198
30	0.6975486943
31	0.6839461247
32	0.6690066141
33	0.655340196
34	0.6412335673
35	0.6291837509
36	0.6177065279
37	0.6054399333
38	0.5927971377
39	0.5810546176
40	0.570892695
41	0.5594655873
42	0.5507457066
43	0.5396240832
44	0.5325365054
45	0.5226992033
46	0.5128562177
47	0.5036099217
48	0.4956736335
49	0.4880201103
50	0.4800990374
51	0.4716447088
52	0.4646941611
53	0.4576085263
54	0.4505282753
55	0.4428772312
56	0.4355699289
57	0.4286267798
58	0.423343844
59	0.4169911171
60	0.411770013
61	0.4068977862
62	0.4007175268
63	0.3967808101
64	0.3914492924
65	0.3870293901
66	0.3809417809
67	0.3758962741
68	0.3706616964
69	0.3661524973
70	0.3617954115
71	0.3578548331
72	0.3535874132
73	0.3494728029
74	0.3453179325
75	0.3403974414
76	0.3352556753
77	0.3305561501
78	0.3263563869
79	0.3224850091
80	0.3187652809
81	0.3149619298
82	0.3109814809
83	0.3081531792
84	0.3040887836
85	0.3004125259
86	0.2980794639
87	0.2932681931
88	0.2897534513
89	0.2860593688
90	0.282244156
91	0.2792020026
92	0.2768171825
93	0.2731141353
94	0.2696796944
95	0.2671511628
96	0.2641304369
97	0.2616507586
98	0.2588928246
99	0.2566196514
