iter	Passed	Remaining
0	149	14754
1	206	10131
2	263	8522
3	319	7665
4	379	7202
5	440	6908
6	506	6728
7	571	6572
8	638	6456
9	706	6362
10	773	6255
11	835	6128
12	898	6011
13	963	5920
14	1029	5833
15	1098	5767
16	1158	5655
17	1229	5601
18	1313	5601
19	1374	5497
20	1440	5417
21	1507	5345
22	1575	5275
23	1641	5198
24	1712	5136
25	1781	5071
26	1846	4993
27	1914	4922
28	1982	4853
29	2049	4782
30	2116	4710
31	2180	4634
32	2246	4560
33	2312	4488
34	2377	4415
35	2440	4338
36	2505	4266
37	2570	4194
38	2634	4121
39	2698	4048
40	2762	3975
41	2828	3905
42	2895	3838
43	2961	3768
44	3025	3698
45	3091	3629
46	3151	3554
47	3216	3484
48	3275	3409
49	3335	3335
50	3393	3260
51	3452	3187
52	3513	3115
53	3572	3043
54	3633	2972
55	3693	2901
56	3751	2830
57	3811	2759
58	3870	2689
59	3929	2619
60	3986	2548
61	4046	2480
62	4111	2414
63	4177	2349
64	4241	2284
65	4306	2218
66	4371	2152
67	4435	2087
68	4498	2021
69	4564	1956
70	4629	1890
71	4693	1825
72	4757	1759
73	4822	1694
74	4885	1628
75	4951	1563
76	5016	1498
77	5081	1433
78	5141	1366
79	5199	1299
80	5257	1233
81	5315	1166
82	5374	1100
83	5432	1034
84	5492	969
85	5552	903
86	5614	838
87	5674	773
88	5734	708
89	5796	644
90	5854	579
91	5913	514
92	5971	449
93	6032	385
94	6089	320
95	6150	256
96	6209	192
97	6270	127
98	6331	63
99	6389	0
